Month	KOSPI	Price_Seoul	Homeloan	Call_rate	M2	Sentiment
16-Feb	1900.61	84.92	152080.1	1.49	2285.3	48.63
16-Mar	1976.5	85	153160.2	1.49	2294.5	52.44
16-Apr	1996.17	85.08	154391.2	1.49	2299.1	58.59
16-May	1966.68	85.25	156076	1.49	2312.8	73.56
16-Jun	1977.03	85.5	158001.3	1.28	2334.3	95.47
16-Jul	2002.48	85.82	159624.8	1.23	2352.2	108.47
16-Aug	2036.66	86.14	161830.8	1.23	2377.3	114.3
16-Sep	2042.56	86.41	163200	1.24	2383	124.77
16-Oct	2036.03	86.83	164916.1	1.23	2391.1	124.83
16-Nov	1981.75	87.22	167171.7	1.23	2406.4	80.67
16-Dec	2021.67	87.29	167875.7	1.23	2414	63.96
17-Jan	2061.73	87.31	167698.8	1.24	2417.8	53.26
17-Feb	2082.8	87.34	167852	1.23	2420.3	58.72
17-Mar	2136.17	87.41	168377.3	1.23	2437	65.82
17-Apr	2160.18	87.5	169036.1	1.23	2450.2	73.07
17-May	2301.89	87.64	169838.4	1.23	2454.4	94.1
17-Jun	2372.2	88.13	171044.5	1.24	2470.9	124.72
17-Jul	2412.9	88.68	172570.4	1.24	2472.1	123.08
17-Aug	2372.18	89.3	174607.2	1.23	2485.6	81.96
17-Sep	2371.84	89.43	174828.7	1.25	2492.4	69.48
17-Oct	2482.87	89.71	175427.9	1.24	2504.6	85.3
17-Nov	2533.51	90.1	176351.5	1.26	2521.8	84.91
17-Dec	2467.73	90.51	176991	1.51	2527.6	88.41
18-Jan	2520.94	91.15	177280.4	1.49	2551.2	118.02
18-Feb	2439.1	91.78	177150.8	1.49	2570.8	122.84
18-Mar	2451.57	92.63	177624.2	1.49	2578.4	103.91
18-Apr	2458.22	93.27	178078	1.47	2590.8	79.04
18-May	2461.3	93.62	178762.9	1.5	2600.3	80
18-Jun	2394.51	93.98	178960.1	1.49	2622.3	77.84
18-Jul	2284.25	94.54	179277.6	1.49	2637.4	84.14
18-Aug	2283.8	95.29	179981.4	1.5	2651.5	128.02
18-Sep	2307.33	98.01	181251.5	1.54	2652.8	164.49
18-Oct	2153.48	99.41	181938.7	1.52	2674.5	85.97
18-Nov	2083.33	99.81	183394.7	1.51	2693	64.52
18-Dec	2070.13	99.96	183858	1.77	2700	51.54
19-Jan	2101.98	100	183577.9	1.75	2717	49.96
19-Feb	2210.2	99.95	183974.3	1.76	2730	42.9
19-Mar	2161.91	99.87	184496.7	1.76	2753	37.9
19-Apr	2212.12	99.87	185582.2	1.75	2763	38.21
19-May	2086.9	99.92	186359.3	1.75	2772	42.38
19-Jun	2105.3	100.04	186961.8	1.76	2799	50.97
19-Jul	2079.48	100.3	187995.3	1.63	2812	75.57
19-Aug	1944.24	100.68	189603	1.51	2833	81.18
19-Sep	2045.21	101.06	190097.9	1.52	2853	82.25
19-Oct	2065.75	101.43	192231.8	1.35	2874	102.87
19-Nov	2128.79	101.85	193327	1.28	2901	113.87
19-Dec	2147.01	102.56	194201.6	1.28	2912	122.83
20-Jan	2203.44	103.06	195176.2	1.27	2929	102.11
20-Feb	2167.12	103.42	196654.8	1.24	2954.6	100.77
20-Mar	1786.75	103.91	198287.6	0.98	2984.3	91.4
20-Apr	1849.59	104.07	200025	0.74	3015.8	67.01
20-May	1965.17	104.09	201328.2	0.7	3046.1	68.21
20-Jun	2134.7	104.64	202582.3	0.48	3077.3	127.89
