"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18327906064.5098","16183541332.9899","9418820611.43951","8589964511.29035","9053822833.63031","9678536466.07655","10246221416.4922","10586506596.0205","11359321576.2289","11734179188.3105","12426495760.7871","13619439353.7327","15417205348.1442","17575614097.1234","19421053577.114","22120580024.1606","25040496587.2317","28471044620.0698","30435546698.9769","26144134614.2082","26719305575.777","27975112937.4842","29989321069.253","30978968664.5384","32094211536.6445","33121226305.4854","33187468758.0387","35676528915.4363","37531708418.9153","40384118258.2046","37395693507.0975","",
"American Samoa","ASM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966678464.210666","987718980.81919","999161460.172933","1051915973.37331","1122149321.88767","1073228241.63905","1144109168.5706","1206710342.88236","1263801318.69785","1310658242.74168","1391964025.79995","1328657453.56947","1342308637.88184","1423874608.69703","1505989864.77679","1603485108.26482","1807258377.52402","1975611420.14299","1975328104.58546","1739025583.76277","1602675635.24333","1571285427.86007","1624282782.9669","1614522851.10782","1675805740.78459","1739910222.13625","1835543677.67486","1893259104.10693","2023584260.56643","2121975706.32825","1693498508.25424","",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529298229226.878","527207039795.938","529388519108.709","550741760462.865","572663891212.335","594618854646.106","617537962482.368","641673142433.36","671280015502.87","704418927725.966","731978809208.788","746898738633.038","776883187572.023","801046780422.893","834734377312.501","861114807751.544","884596491005.368","917932399334.278","950766977829.803","968516200684.018","989555637343.978","1013995151022.54","1053717016448.23","1081115891498.42","1108824151458.37","1132910082382.91","1163970433130.57","1190694343959.24","1224878850897.8","1250762371287.89","1250714385056.98","",
"Austria","AUT","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287877610666.848","297785286478.443","304019494756.947","305621097436.388","312962480111.461","321312267538.717","328861608034.195","335746652652.378","347771169942.14","360139064725.604","372296358893.85","377013979923.414","383240569094.825","386848667609.275","397429443747.181","406348020084.216","420383450698.257","436052887762.183","442421107373.803","425765818911.111","433587535848.305","446260420568.48","449296979861.322","449411571762.946","452383408466.616","456972845319.882","466064032926.316","476590426691.819","488512789542.233","495797545261.262","462407989786.746","",
"Azerbaijan","AZE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54652854606.8022","54270284524.6893","42005200197.3451","32301999241.7856","25938505157.7986","22877761618.7087","23175172397.3595","24519332399.2637","26971265924.9312","28967139491.9371","32182491831.7191","35368558564.968","38706967219.4232","42658290558.3697","46605804015.8275","59637503647.8549","80212442406.3649","100265553007.956","111053101954.314","121377001960.347","127505259506.341","127632764765.847","130396319714.322","137972086329.501","141767018262.97","143317915201","138875059829.769","139152809949.428","141240102098.67","144771104651.137","138545947151.138","",
"Burundi","BDI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6444307085.5261","6766318570.79823","6834658278.13972","6408175601.48876","6162742476.19536","5674653271.84973","5220681010.2186","5137672182.32014","5381711610.7284","5327356323.6485","5281708122.04697","5390289853.06244","5629970137.7553","5561074619.02674","5829877934.33885","5882346835.80048","6200805749.0857","6414854617.51195","6726726438.06685","6983199494.26243","7341030040.14927","7637064600.79901","7976662580.3333","8369449021.12303","8724368198.60431","8384117569.63019","8333811187.34308","8375481076.5592","8510320717.21629","8667121391.54336","8692912761.70075","",
"Belgium","BEL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353910993696.706","360398445086.651","365914901703.961","362395263927.975","374089655902.479","383010786203.891","388072085801.765","402794212092.751","410696262264.66","425246177251.417","441051214253.456","445901096710.163","453512113792.175","458219490391.071","474583444734.03","485602024421.712","497996287418.469","516307018968.288","518614543398.304","508134675995.647","522689140465.188","531546180596.913","535475461831.324","537934591084.72","546426066893.871","557581131065.091","564643935471.557","573788797293.568","584227184117.895","596785496111.532","563009466877.029","",
"Benin","BEN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10829251969.6947","11286874436.5493","11620707543.812","12298912033.5651","12547399307.3432","13305914520.933","13881300057.7825","14677349358.5246","15258720948.2003","16073757802.47","17015312596.6121","17922762308.1962","18754921695.056","19400761822.8883","20260154372.6862","20607244157.9321","21419940047.2018","22702212482.9423","23813843817.0103","24366156424.6825","24881272742.8566","25618692190.0679","26851264681.8907","28782255584.8599","30612139032.0882","31156469106.8687","32196993426.2032","34023063767.8647","36301676624.9392","38794036239.5523","40287138158.1103","",
"Burkina Faso","BFA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8965578966.65021","9778755585.63689","9801511802.25928","10140779855.6219","10274131848.1712","10861439635.759","12057799392.1846","12819470652.4471","13756281626.4151","14773591365.2802","15052586780.6907","16048075419.6757","16746642338.0862","18053298083.0785","18861806396.8256","20495592155.5072","21777215286.8077","22672559146.7304","23987565704.7263","24698065613.0907","26784133778.8634","28557929808.7362","30400679457.6706","32161664608.7426","33553250183.4258","34868949890.8718","36946433803.5338","39238401912.359","41829929267.8886","44209263811.574","45062646234.4256","",
"Bangladesh","BGD","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156587099092.043","162044516224.857","170864089695.163","178914456746.146","185874455334.185","195393602731.684","204231097539.642","213400862434.587","224448682431.005","234930786867.074","247366365800.347","259925868052.997","269889148727.735","282680726834.717","297491876548.729","316935781802.484","338081436016.661","361945250084.025","383711876467.608","403070619485.479","425528860652.846","453036659482.283","482581258491.401","511601792357.536","542610280674.236","578165578311.579","619293260761.415","664403662063.264","716650728824.611","775076999200.04","802275504293.177","",
"Bulgaria","BGR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109045861800.016","99836551465.4976","92576050078.5589","91205725722.4101","92863856028.9697","95515166529.8907","100487105121.156","86302967316.5503","89573092095.2302","82052453627.1857","85816384573.4166","89097748814.7402","94329506504.2682","99269688289.2725","105732568261.713","113193425726.925","120893509686.099","128862061317.083","136743288136.013","132269247011.209","134308576170.373","137130675695.732","138165916835.062","137391505208.716","138719901125.652","143475295512.222","147836693810.46","151920196034.544","155998609355.325","162297196854.872","155176975652.706","",
